id;active;category_id;title;slug;headline;price;image;amount
3402986;1;20;Kurs Praktyczny - Malarstwo - akryle oleje akwarela;kurs-praktyczny-malarstwo-akryle-oleje-akwarela;Kurs Praktyczny z wykładami podczas praktyki! - Oleje akryle oraz akwarela - 14 obrazów w jednym kursie;69,99;https://img-a.udemycdn.com/course/480x270/3402986_b8cd.jpg?BjGnBRrc8K7sGZLQ5DzFoe5x3xFm4yo4JtjPbnMDAPXiiDdIm2emxClgNatVer9zFxyinSDNbS5lt-nc_JZd6PwLFHsIqfE7S47RRBv7PLDoZdZIch3VQ0_AiLIqtw;1000
2920706;1;20;Kurs prostego rysowania;kurs-prostego-rysowania;Kurs prostego rysowania dla dzieci i dorosłych.;69,99;https://img-a.udemycdn.com/course/480x270/2920706_97bf_3.jpg?M88yexTp3PDO52paFj42PDUI6ivBG4dvyiqmy_oKyAMEYmkCXWEsPwzbfVe1_jDTs4iNtt7hLJ1wOJV7WRXItR41n3zuKPT9twopcrOMiuAWeugkwC-UiTsyjFS0PQAf;1000
2561678;1;20;Łatwy i Szybki Montaż Wideo w iMovie - Kurs Polski;atwy-i-szybki-montaz-wideo-w-imovie;Stwórz własne filmy w prostym i szybkim programie dzięki praktycznym wskazówkom. Kurs po polsku.;69,99;https://img-a.udemycdn.com/course/480x270/2561678_5e88_3.jpg?llgFsoaWh1fQ8Twg_mwLQ3fFjRMA8G-vgaf-HoTP88wMFnBbiL8kLwrP04G7xWNeuDjuPBWRcAJvSYCTTvtCQMSxBYM657rZGlM3GijEvAqnec5XTCW3zmHm9sSPG_PA;1000
1634904;1;21;Kryptowaluty Jak Zacząć;kryptowaluty-jak-zaczac;Instrukcja obsługi kryptowalut;69,99;https://img-b.udemycdn.com/course/480x270/1634904_842b.jpg?secure=KEGC9RFJ45u98-UaLPpMsQ%3D%3D%2C1607867150;1000
2037006;1;21;Wsparcie by Sylwia;wsparciebysylwia;Obsługa oprogramowania Smart Trade Software;479,99;https://img-a.udemycdn.com/course/480x270/2037006_0284_4.jpg?PcMpO-CSbNiDnDQFxkW9THBNgkzk4_u5U59kSXVC4zR4o5GA0Vz7TAxFYifafcoQjgvBFN_OCDnzzlalJGsZF3hJNP_kNMc3ywFS9B5oJ4criRaibudqxevS3EP_ZZoF;1000
2023616;1;22;Swing Dance for Everybody (Lindy Hop);swing-dance-for-everybody-lindy-hop;Lindy Hop;69,99;https://img-a.udemycdn.com/course/480x270/2023616_e32b.jpg?WcF1NNv6zsvbb-ouQi_UIrXX2XZ7HcKbnXdardMhpNw9KNLNOhTQQDdvTmlTVw02BeuKBQh---ZTeqgoTI-JNuOpCI4iCAeG--Sf1KrYIP1dQgf6bSnfOSXuGdR7Ew;1000
3096872;1;22;Hip Hop - Master Class;hip-hop-master-class;2020;84,99;https://img-a.udemycdn.com/course/480x270/3096872_6505_2.jpg?XtyKIRqY9fOMlREYzSO_gC3jot9Y_NYYdl5mshCD4GknGS5tZOromT4U_V6j6cFRr5eWl6lwYvtpgo9bqBvj09CrLIQ7iiiTeHI-ET3a-73qG_8dKNcT1pqWk6kj1ym9;1000
2860140;1;22;Bachata Men Styling;bachata-men-styling;Wszystko czego potrzebujesz żeby wyglądać męsko w tańcu!;99,99;https://img-b.udemycdn.com/course/480x270/2860140_e2c7_6.jpg?secure=XSUr_x_W-HiPjoh5swmN0w%3D%3D%2C1607867630;1000
3019662;1;22;Hip Hop dla Początkujących !;hip-hop-dla-poczatkujacych;2020;84,99;https://img-b.udemycdn.com/course/480x270/3019662_1d67.jpg?secure=k5BCtQaUORdpGhs1tSHSMQ%3D%3D%2C1607867630;1000
2956782;1;22;Break Dance dla początkujących dla osób w każdym wieku !;break-dance-dla-poczatkujacych;2020 taniec breakdance breaking !;84,99;https://img-a.udemycdn.com/course/480x270/2956782_b1f2_4.jpg?KLKgx7zfMp0bQhbw_Z4xMCfry9mU5H5BLq0TddK0wvEjY9KLI4hgSrFuSILyuBCRxtjtWv_7KxLIJ1r76A7BHcGB4OqzJb1dBN_xhufns20Yjm17c9FQexJz-yBnb-g_;1000
2472898;1;23;Uczenie Maszynowe - Drzewa Decyzyjne i Lasy Losowe - Python;uczenie-maszynowe-python;Poznaj od podstaw algorytmy uczenia maszynowego w języku Python! Twórz własne modele w bibliotece scikit-learn!;69,99;https://img-a.udemycdn.com/course/480x270/2472898_3a97_2.jpg?5OyseGoYI8J4t-6fpFItf6aF7X5gnPzy2NaXGspfnGIPF3PxNmUcoUXrYCnGZaUy4k2zDzSmwGeOltJH_UknC-0vLmOjfw5_0UpA84GCy6XE47Tcb-a7OtZ6Ie-Qunmj;1000
2672484;1;23;Artificial Intelligence – Computer Vision w języku Python;artificial-intelligence-computer-vision;Sztuczna inteligencja - Odkryj Computer Vision z bibliotekami OpenCV Tensorflow Keras oraz PyTesseract;69,99;https://img-b.udemycdn.com/course/480x270/2672484_e4b1_9.jpg?secure=UjQ35PtBrNYacFk2zxoBMg%3D%3D%2C1607868522;1000
